Unnamed: 0,省内E特快,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
返回目录,国家/地区,参考时效,分区,重量(KG),进位制(KG),最低计费重(KG),首重,续重,处理费(RMB/票)
,圭亚那,11-23工作日,,0＜W≤20,0.05,,112.2,4.59,0
,捷克,11-23工作日,,0＜W≤30,0.05,,91.8,3.06,0
,秘鲁,11-23工作日,,0＜W≤30,0.05,,122.4,5.1,0
,墨西哥,7-15工作日,,0＜W≤30,0.05,,127.5,5.1,0
,乌克兰,11-23工作日,,0＜W≤20,0.05,,122.4,3.57,0
,匈牙利,7-15工作日,,0＜W≤30,0.05,,132.6,2.55,0
,以色列,11-23工作日,,0＜W≤20,0.05,,127.5,3.57,0
,约旦,11-23工作日,,0＜W≤30,0.05,,132.6,2.55,0
,黎巴嫩,11-23工作日,,0＜W≤30,0.05,,71.4,2.55,0
,乌拉圭,11-23工作日,,0＜W≤30,0.05,,122.4,7.14,0
,哥斯达黎加,11-23工作日,,0＜W≤30,0.05,,132.6,5.1,0
,智利,11-23工作日,,0＜W≤30,0.05,,132.6,5.61,0
,阿曼,11-23工作日,,0＜W≤30,0.05,,127.5,2.55,0
,埃及,11-23工作日,,0＜W≤30,0.05,,112.2,3.06,0
,埃塞俄比亚,11-23工作日,,0＜W≤30,0.05,,112.2,5.1,0
,爱沙尼亚,7-15工作日,,0＜W≤30,0.05,,122.4,5.1,0
,巴林,11-23工作日,,0＜W≤20,0.05,,102,3.06,0
,保加利亚,7-15工作日,,0＜W≤30,0.05,,91.8,4.08,0
,博茨瓦纳,11-23工作日,,0＜W≤30,0.05,,142.8,9.18,0
,布基纳法索,11-23工作日,,0＜W≤31.5,0.05,,102,5.1,0
,刚果（布）,11-23工作日,,0＜W≤30,0.05,,81.6,3.57,0
,刚果（金）,11-23工作日,,0＜W≤30,0.05,,132.6,4.08,0
,哈萨克斯坦,11-23工作日,,0＜W≤20,0.05,,132.6,2.55,0
,吉布提,11-23工作日,,0＜W≤30,0.05,,132.6,4.08,0
,几内亚,11-23工作日,,0＜W≤30,0.05,,102,3.57,0
,加纳,11-23工作日,,0＜W≤30,0.05,,132.6,3.57,0
,加蓬,11-23工作日,,0＜W≤30,0.05,,122.4,3.06,0
,卡塔尔,11-23工作日,,0＜W≤30,0.05,,122.4,3.57,0
,科特迪瓦,11-23工作日,,0＜W≤30,0.05,,102,3.57,0
,科威特,11-23工作日,,0＜W≤30,0.05,,102,2.04,0
,克罗地亚,7-15工作日,,0＜W≤30,0.05,,91.8,4.08,0
,肯尼亚,11-23工作日,,0＜W≤31.5,0.05,,132.6,3.06,0
,拉脱维亚,7-15工作日,,0＜W≤30,0.05,,102,4.08,0
,卢旺达,11-23工作日,,0＜W≤30,0.05,,102,3.06,0
,罗马尼亚,7-15工作日,,0＜W≤31.5,0.05,,142.8,3.06,0
,马达加斯加,11-23工作日,,0＜W≤30,0.05,,132.6,3.57,0
,马里,11-23工作日,,0＜W≤30,0.05,,132.6,3.06,0
,摩洛哥,11-23工作日,,0＜W≤30,0.05,,142.8,3.57,0
,莫桑比克,11-23工作日,,0＜W≤30,0.05,,122.4,3.06,0
,尼日尔,11-23工作日,,0＜W≤30,0.05,,102,5.61,0
,尼日利亚,11-23工作日,,0＜W≤30,0.05,,122.4,3.06,0
,塞内加尔,11-23工作日,,0＜W≤30,0.05,,122.4,3.57,0
,塞浦路斯,7-15工作日,,0＜W≤30,0.05,,132.6,3.06,0
,沙特阿拉伯,11-23工作日,,0＜W≤30,0.05,,96.9,4.08,0
,突尼斯,11-23工作日,,0＜W≤30,0.05,,122.4,4.08,0
,乌干达,11-23工作日,,0＜W≤30,0.05,,142.8,4.08,0
,伊朗,11-23工作日,,0＜W≤30,0.05,,112.2,4.08,0
,乍得,11-23工作日,,0＜W≤30,0.05,,142.8,4.08,0
,乌兹别克斯坦,11-23工作日,,0＜W≤30,0.05,,86.7,5.1,0
,阿塞拜疆,11-23工作日,,0＜W≤50,0.05,,112.2,2.04,0
,阿尔及利亚,11-23工作日,,0＜W≤30,0.05,,142.8,3.06,0
,,,,,,,,,
,,,,,,,,,
,备注说明:,,,,,,,,
,一、注意事项,,,,,,,,
,1.每票货的重量需加包材重0.05KG；,,,,,,,,
,2.说明:(本渠道优势：服务国家多、重量及尺寸限制小，可发专线及其他邮政渠道不可发的异形件和超常规件，是良好的补充渠道),,,,,,,,
,3.2021年7月1日起欧盟税改要求，欧盟27国取消22欧以下免税政策，0起征，强烈建议客户在系统下单时填写IOSS号。无IOSS号会采用DDU，由收件人支付VAT和手续费并配合清关，,,,,,,,,
,如果收件人不及时配合清关和缴纳税费，可能会造成清关延误货或者包裹状态停滞，甚至产生海外退件。,,,,,,,,
,4.IOSS件邮局会做海关编码强制校验，要求必须提供海关编码。对没有填写HS Code海关编码的物品，无论是否填写了IOSS识别账号，都将额外向收件人收取额外的处理费。,,,,,,,,
,5.所有欧盟国家的包裹，建议提供HSCODE，如果没有提供会影响包裹清关时效，因此造成相关损失由客户承担。,,,,,,,,
,6.提醒： 邮政服务不保证时效，时效要求比较高的包裹请慎重选择。,,,,,,,,
,7.2024年1月1日起挪威VOEC（VATonE-Commerce）办法将全面生效，将正式应用于进入挪威境内的B2C类电商包裹，强烈建议客户在系统下单时填写VOEC号（7位数字，且第一位为2），,,,,,,,,
,如未填写，包裹到达挪威后，则会出现被增加额外的清关手续费、重复征税及通关缓慢的情况。,,,,,,,,
