Unnamed: 0,部分HS原关税,Unnamed: 2,Unnamed: 3
返回目录,海关编码,税率,仅供参考，实际以官网为准
,9405300040,8%,
,7020006000,5%,
,4205000000,0%,
,6306120000,8.8%,
,9017308000,3.9%,
,6912004400,10%,
,9504909080,0%,
,8533908070,0%,
,9505104020,0%,
,9609908000,0%,
,8452300000,0%,
,6405203060,7.5%,
,3401190000,0%,
,4202128920,17.6%,
,7615107180,3.1%,
,9701100000,0%,
,8201904000,0%,
,6304996040,3.2%,
,6403997515,7%,
,6405909000,0%,
,8521900000,0%,
,8525601030,0%,
,8302303060,0%,
,6405209015,12.5%,
,8515902000,1.6%,
,6112410030,13.2%,
,6209205050,9.3%,
,9615906000,11%,
,9209948000,2.7%,
,3919102020,5.8%,
,6117909090,14.6%,
,6307909835,7%,
,7323920020,0%,
,8481805090,3%,
,7310290050,0%,
,8519893000,0%,
,9206008000,5.3%,
,7615200000,3.8%,
,8214903000,1¢ each + 4.9%,
,9019102045,0%,
,8708295060,2.5%,
,8543709500,0.6%,
,9017208040,4.6%,
,8714969000,10%,
,4015195000,14%,
,9014106000,0%,
,3926305000,5.3%,
,9615902000,8.1%,
,5908000000,3.4%,
,6911104500,14%,
,6108910005,8.5%,
,4601944000,0%,
,6208210020,8.9%,
,8204120000,9%,
,6303192110,0%,
,6111305015,0%,
,8519812500,0%,
,8522908181,0%,
,9404308000,9%,
,5806200010,7%,
,8516290090,3.7%,
,6114200060,10.8%,
,6208920030,16%,
,6406909000,0%,
,8504312000,0%,
,7307995045,4.3%,
,9616100000,0%,
,6403999071,10%,
,9031809195,0%,
,8205700090,5%,
,8207504030,8.4%,
,8481801050,4%,
,5603120010,0%,
,5602109090,10.6%,
,6505001515,7.9%,
,4203218060,4.9%,
,8481301010,3%,
,7607196000,3%,
,8481302090,5%,
,8519302000,0%,
,7323940026,2.7%,
,6505008090,18.7¢/KG + 6.8% /,
,7319901000,0%,
,6305100000,0%,
,9209944000,5.7%,
,9032896025,1.7%,
,8205514500,0%,
,8205516000,2.2¢/KG + 5% /,
,6302219010,6.7%,
,6115991920,1.6%,
,6115969020,14.6%,
,6111206020,8.1%,
,7615103015,3.1%,
,7117903000,3.9%,
,6804224000,0%,
,9506390060,4.9%,
,6112191010,28.2%,
,6116995400,18.8%,
,8531809041,0.3%,
,6702906500,17%,
,8536908530,0.6%,
,9606214000,0.3¢/line/ gross + 4.6% /,
,6302932000,9.9%,
,8542310000,0%,
,8529908900,0%,
,8302200000,5.7%,
,8518908000,0%,
,8308909000,2.7%,
,8205595510,5.3%,
,7117193000,3.9%,
,3923500000,5.3%,
,9506610000,0%,
,4421906000,0%,
,6211430091,0%,
,9505104010,0%,
,6107120010,14.9%,
,9504208000,0%,
,6117909070,14.6%,
,9503000071,0%,
,3926209010,5%,
,9603404060,4%,
,6204593020,16%,
,6804300000,0%,
,5607290000,3.6%,
,9209991000,5.7%,
,6704110000,0%,
,7117110000,8%,
,7320109060,3.2%,
,6208110000,14.9%,
,4421100000,3.2%,
,6116929400,9.4%,
,6505005030,6.8%,
,8503009550,3%,
,6804226000,0%,
,8541406050,0%,
,7419995050,0%,
,6406109040,4.5%,
,9029204080,0%,
,9113206000,8.8%,
,7323920040,0%,
,5804101000,6%,
,9105918010,0%,
,9507908000,9%,
,3917400090,5.3%,
,7319405050,0%,
,6116994800,18.8%,
,4202122935,20%,
,5703308030,6%,
,9027905995,0.4%,
,6302100020,6%,
,6206303041,15.4%,
,8302106030,3.5%,
,4909002000,0%,
,8215994030,0%,
,6809900000,0%,
,9020006000,2.5%,
,8477902580,3.1%,
,8538908160,3.5%,
,6115210010,16%,
,6306901000,3.5%,
,4202128130,17.6%,
,6104420010,11.5%,
,8443995050,0%,
,6112110060,14.9%,
,9002190000,0%,
,4203295000,12.6%,
,9030908921,0%,
,8509400040,4.2%,
,8215991000,0.5¢ each + 6.3%,
,9114905000,7.2%,
,6108310020,8.5%,
,6506103045,0%,
,4821104000,0%,
,8308903000,0%,
,9020009000,2.5%,
,6103421020,16.1%,
,3926906550,5.3%,
,6116939400,18.6%,
,9207900080,5%,
,3923100000,0%,
,7615102025,3.1%,
,8205598000,3.7%,
,7321190040,0%,
,4202224030,7.4%,
,3926905900,2.4%,
,8443321050,0%,
,6305330060,8.4%,
,7907001000,3%,
,7117190500,0%,
,9615113000,28.8¢/gross + 4.6%,
,6505001560,7.9%,
,8539310050,2.4%,
,6104442020,14.9%,
